_id,created_at,favorite_count,geo,id,place,retweet_count,source,text
5d8d0a351203fc9d25baae2b,Mon Sep 23 18:00:00 +0000 2019,1,,1.18E+18,,1,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Track &amp; Field…&amp; Fortnite???

The esports scene is bigger than it ever has been with people beginning to question if… https://t.co/6IZOxM4Lyd"
5d8d0a351203fc9d25baae2c,Mon Sep 23 15:29:11 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SOCatalunya: ⚽️ Enhorabona a tots els equips pel gran campionat que heu disputat ! 
1. Special Olympics Catalunya 
2. @crecenpositivo @…"
5d8d0a351203fc9d25baae2d,Mon Sep 23 15:24:19 +0000 2019,2,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Olympicss Wingss | El Primer Torneo por parte de dogworker &amp; AOTS eSports.

Más detalles en:… https://t.co/cDjHN7Cx62"
5d8d0a351203fc9d25baae2e,Mon Sep 23 15:08:55 +0000 2019,1,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Every stream filled with:
 
 - #esports commentary (#RocketLeague in the #Olympics?! #CDL Rosters + #OWL finals )… https://t.co/FsmQnXd0kY"
5d8d0a351203fc9d25baae2f,Mon Sep 23 14:49:01 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LIGamingLeague: #LIGLAlerts ESports Star Ninja: 'It's a Matter of Time' Before Video Games Are Olympic Sport https://t.co/Kvp1hVsBPu #l…
5d8d0a351203fc9d25baae30,Mon Sep 23 14:22:04 +0000 2019,0,,1.18E+18,,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#LIGLAlerts ESports Star Ninja: 'It's a Matter of Time' Before Video Games Are Olympic Sport… https://t.co/iaxrdgoSiE
5d8d0a351203fc9d25baae31,Mon Sep 23 09:34:55 +0000 2019,0,,1.18E+18,,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ninja is pretty confident that esports will eventually be in the Olympics! 🔥

#esports #Olympics https://t.co/teLBwdew1O"
5d8d0a351203fc9d25baae32,Mon Sep 23 09:32:21 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @oneesportsgg: 6 game titles will be featured at the 2019 Southeast Asian (SEA) Games. Next stop, the Olympics?🥇🌎

#oneesportsgg #seagam…"
5d8d0a351203fc9d25baae33,Mon Sep 23 09:22:14 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CongressEsports: ""Esports doesn't need to be recognized as an Olympic discipline to be a part of the Olympic movement. It's a win-win s…"
5d8d0a351203fc9d25baae34,Mon Sep 23 09:13:51 +0000 2019,8,,1.18E+18,,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""Esports doesn't need to be recognized as an Olympic discipline to be a part of the Olympic movement. It's a win-wi… https://t.co/uMa6hmaK8W"
5d8d0a351203fc9d25baae35,Mon Sep 23 08:58:16 +0000 2019,0,,1.18E+18,,0,"<a href=""https://www.topicaltalk.co.uk/e-sports/"" rel=""nofollow"">eSports Talk</a>","Will Esports be in the olympics, Ninja explains #eSports https://t.co/HmiO60xLoH"
5d8d0a351203fc9d25baae36,Mon Sep 23 07:06:46 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @IntelIndia: We are excited to bring the Intel World Open esports tournament to Japan where we will crown the champions of @RocketLeague…
5d8d0a351203fc9d25baae37,Mon Sep 23 06:09:46 +0000 2019,0,,1.18E+18,,0,"<a href=""https://www.gamestous.com"" rel=""nofollow"">App for Gamestous</a>","New post (Will Esports be in the olympics, Ninja explains) has been published on Games to us -… https://t.co/GJTnOv1teT"
5d8d0a351203fc9d25baae38,Mon Sep 23 02:34:13 +0000 2019,0,,1.18E+18,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @roundhill: ICYMI, @IntelGaming is hosting Rocket League and Street Fighter world championships leading up to the 2020 Olympics in Tokyo…"
