OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,favoritePartDestinationKentState,anyAdditionalComments
[],"['like', 'walk', 'would', 'order', 'graduate']",['nan'],"['tag', 'badge', 'go', 'interest', 'know', 'people', 'like', 'could', 'bond']","['maybe', 'tell', 'story', 'event', 'occur', 'around', 'campus']","['favorite', 'part', 'able', 'bond', 'freshman']",[]
['nan'],['nan'],['nan'],['nan'],['nan'],['nan'],"['like', 'still', 'know', 'stay', 'roommate', 'would', 'nice', 'know']"
['nan'],['nan'],['nan'],"['know', 'sort', 'game', 'break', 'group', 'outside', 'major']",['nan'],['nan'],['nan']
"['make', 'slightly', 'easy', 'input', 'answer']",['perfect'],['informative'],"['activity', 'fun', 'fun', 'short', 'amount', 'time']",['college'],"['flash', 'guide']","['lot', 'short', 'amt', 'time']"
['nan'],['nan'],['nan'],"['hard', 'get', 'know', 'first', 'day', 'pretty', 'much', 'family', 'guest', 'separation', 'guest', 'would', 'likely', 'lead', 'connection']",['nan'],['nan'],['nan']
"['study', 'study', 'study']","['advisor', 'generous', 'help', 'understand', 'everything']",['nan'],"['play', 'basketball', 'communicate', 'one', 'another']","['freshman', 'car', 'campus']","['meet', 'flash', 'guide', 'new', 'student']",['nan']
[],"['informative', 'instruction', 'give', 'schedule', 'class', 'easy', 'follow']",['nan'],"['say', 'hi', 'introduce', 'shy', 'person', 'general', 'meet', 'one', 'person']",[],"['meet', 'advisor', 'schedule', 'class']",['nan']
"['warn', 'send', 'take', 'didnt', 'know', 'till', 'word', 'rule', 'involve']",['nan'],['nan'],['nan'],['nan'],"['connect', 'peer', 'together']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['meet', 'everyone']",['nan']
['nan'],['nan'],['nan'],"['major', 'interest', 'well', 'past', 'experience']","['may', 'mine', 'spend', 'time', 'learn', 'campus']","['flash', 'guide', 'story', 'experience']",['nan']
['nan'],['nan'],['na'],['nan'],"['time', 'spend', 'navigate', 'hall']",['advise'],['nan']
['nan'],['nan'],['nan'],"['even', 'activity', 'walk', 'session']",['nan'],['nan'],['nan']
