OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,makeAconnection,SpendTimeDestinationKentState,DestinationKentState,anyAdditionalComments
['nan'],"['many', 'student', 'get', 'schedule', 'advise', 'find', 'rush', 'decision', 'modify', 'schedule', 'actual', 'registration', 'process', 'however', 'feel', 'like', 'get', 'know', 'advisor', 'bite', 'could', 'come', 'concern', 'schedule', 'semester', 'start', 'feel', 'though', 'anything', 'irreversible', 'hasty', 'decision', 'make']","['think', 'session', 'sit', 'together', 'table', 'group', 'similar', 'major', 'really', 'like', 'small', 'group', 'feel', 'give', 'chance', 'engage', 'handful', 'people', 'without', 'reel', 'sea', 'figure', 'engage', 'name', 'table', 'also', 'help', 'remember', 'name', 'good', 'could', 'like', 'say', 'early', 'already', 'connection', 'environment', 'also', 'chill', 'relax', 'super', 'nice', 'stuff']","['might', 'sound', 'stupid', 'choice', 'go', 'relax', 'session', 'like', 'go', 'one', 'local', 'coffee', 'use', 'book', 'store', 'outgo', 'session', 'like', 'volleyball', 'would', 'allow', 'student', 'take', 'break', 'super', 'involve', 'activity', 'without', 'go', 'back', 'dorm', 'one', 'else', 'around', 'way', 'still', 'socialize', 'incoming', 'student', 'quiet', 'intense', 'environment']","['maybe', 'mention', 'wick', 'poetry', 'center', 'another', 'thing', 'get', 'involve', 'stumble', 'upon', 'center', 'browse', 'kent', 'couple', 'month', 'ago', 'surprise', 'never', 'tell', 'visit', 'kent', 'state']","['really', 'like', 'time', 'talk', 'people', 'similar', 'major', 'one', 'session', 'see', 'reason', 'previous', 'response', 'couple', 'question', 'back']",['nan']
"['make', 'program', 'long']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['learn', 'module', 'placement', 'assessment']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['lot', 'know', 'lot', 'information', 'need', 'know', 'maybe', 'split', 'lecture', 'would', 'love', 'time', 'sit', 'advisor', 'understand', 'lot', 'student', 'otherwise', 'fun']","['advisor', 'helpful', 'felt', 'get', 'speak', 'much', 'want', 'felt', 'rush']",['nan'],"['shy', 'opportunity', 'talk', 'student']","['explore', 'campus']","['hear', 'story', 'discover', 'purpose', 'study', 'group']",['nan']
['nan'],['nan'],['nan'],"['meet', 'people', 'major']",[],"['even', 'social', 'activity']",['nan']
['nan'],"['meet', 'academic', 'advisor', 'schedule', 'class', 'amaze', 'make', 'sure', 'inform', 'transfer', 'credit', 'credit', 'hour', 'course', 'take', 'schedule', 'class', 'locate', 'also', 'make', 'sure', 'give', 'instruction', 'one', 'class', 'schedule', 'within', 'week', 'possible', 'conflict', 'however', 'course', 'assign', 'next', 'day', 'problem', 'felt', 'much', 'comfortable', 'stress', 'talk']",['nan'],['nan'],"['get', 'know', 'campus', 'mainly', 'three', 'build', 'near', 'would', 'like', 'see', 'campus', 'guide', 'become', 'familiar', 'overall', 'layout']","['schedule', 'class', 'favorite', 'part', 'make', 'extremely', 'excite', 'come', 'fall']",['nan']
['nan'],"['advisor', 'schedule', 'credit', 'hour', 'take', 'account', 'honor', 'class', 'already', 'schedule', 'assign', 'class', 'full', 'could', 'register', 'student', 'registrar', 'fix', 'schedule', 'go', 'back', 'validate', 'new', 'schedule', 'different', 'advisor', 'information', 'fill', 'prior', 'review', 'advisor', 'knowledge', 'course', 'need', 'psychology', 'major', 'keep', 'go', 'check', 'course', 'requirement']",['nan'],['nan'],"['accurate', 'destination', 'kent', 'state', 'rely', 'paper', 'schedule', 'parent', 'schedule', 'segment', 'destination', 'kent', 'state', 'allow', 'honor', 'support', 'staff', 'give', 'guide', 'tour', 'hall', 'dorm', 'room', 'time', 'honor', 'student', 'meet']","['another', 'student', 'old', 'friend', 'campus', 'take', 'u', 'depth', 'tour', 'campus', 'instead', 'go', 'party', 'great', 'u', 'become', 'friend', 'learn', 'real', 'campus', 'life']",['nan']
['nan'],['nan'],['nan'],"['meet', 'outside', 'activity', 'conversation', 'spark', 'clothe', 'hold', 'well']","['take', 'art', 'student', 'fashion', 'school', 'tour']","['meet', 'new', 'friend']",['nan']
['nan'],['nan'],['nan'],['nan'],"['maybe', 'good', 'depth', 'campus', 'tour']","['really', 'enjoy', 'able', 'interact', 'student', 'major', 'along', 'extremely', 'helpful']",['nan']
"['indicator', 'top', 'say', 'number', 'question', 'total']","['seem', 'little', 'bite', 'confuse', 'honor', 'credit', 'besides', 'advise', 'set', 'well', 'run', 'smoothly']",[],['nan'],['nan'],['nan'],['nan']
['nan'],"['great', 'well', 'everyone', 'else']",['amaze'],"['minority', 'self']",['nan'],"['meet', 'know']",['great']
['nan'],['nan'],['nan'],"['small', 'group', 'individual']",['nan'],"['enjoy', 'pretty', 'much', 'everything', 'program', 'informational', 'give', 'solid', 'feel', 'activity', 'like', 'fall']",['nan']
['nan'],['nan'],['nan'],"['social', 'time', 'opportunity']",['nan'],['nan'],['nan']
['nan'],"['friendly', 'welcome', 'felt', 'comfortable', 'talk', 'concern', 'question']",['nan'],['nan'],"['maybe', 'mention', 'available', 'student', 'start', 'feel', 'anxiety', 'depression']","['like', 'visit', 'downtown', 'schedule', 'class']",['nan']
"['aware', 'could', 'take', 'language', 'placement', 'exam', 'since', 'want', 'continue', 'learn', 'quick', 'notification', 'optional', 'placement', 'exam', 'would', 'helpful']",['nan'],['nan'],"['time', 'session', 'without', 'parent']",['nan'],"['favorite', 'part', 'icebreaker', 'student', 'program', 'happen', 'walk', 'downtown']",['nan']
['nan'],['nan'],['nan'],['nan'],"['find', 'way', 'around', 'campus']","['story', 'phenomenal', 'really', 'hit', 'home', 'especially', 'like', 'connect', 'ask', 'question']",['nan']
"['get', 'old', 'gentleman', 'go', 'first', 'day', 'provide', 'joke', 'speech', 'everyone', 'fall', 'talk']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],"['need', 'interactive', 'mind', 'numbingly', 'bore', 'day', 'go', 'group', 'people', 'leave', 'break', 'smart', 'one', 'say', 'resource', 'fair', 'completely', 'repeat', 'make', 'lecture', 'completely', 'bore', 'useless']",['nan'],"['get', 'around', 'campus']",[],"['horribly', 'long', 'bore', 'happy', 'think', 'schedule', 'class', 'first', 'day', 'make', 'rest', 'optional', 'need', 'waste', 'time', 'hear', 'stuff', 'already', 'know', 'incredibly', 'bore', 'format', 'information', 'could', 'condense', 'lot', 'repeat', 'happy', 'go']"
['nan'],['nan'],['nan'],"['connection', 'take', 'long', 'day', 'half', 'form']","['would', 'nice', 'tour', 'place', 'talk']","['like', 'food']",['nan']
['nan'],"['wish', 'could', 'work', 'actual', 'advisor']",['nan'],"['honest', 'would', 'enjoy', 'fun', 'program', 'student', 'much', 'information', 'never', 'need', 'know', 'parent', 'care', 'wish', 'student', 'party', 'event', 'see', 'many', 'pep', 'everything', 'wish', 'could', 'see', 'one']","['would', 'love', 'know', 'like', 'school', 'spirit']","['night', 'time', 'day', 'one', 'really', 'get', 'connect', 'student', 'flash', 'guide']",['nan']
"['complete', 'placement', 'assessment', 'shortly', 'complete', 'prior', 'school', 'relevant', 'information', 'would', 'mind', 'likely', 'take', 'test', 'seriously', 'allow', 'even', 'recommend', 'time', 'make', 'sure', 'feel', 'stress', 'time', 'constraint', 'take', 'show', 'best']","['advisor', 'm', 'harper', 'well', 'inform', 'help', 'feel', 'secure', 'decision', 'help', 'clearly', 'guide', 'actual', 'schedule', 'process', 'follow']","['neat', 'separate', 'college', 'meet', 'specifically', 'student', 'academic', 'interest']",['nan'],"['descript', 'define', 'instruction', 'buy', 'book', 'supply', 'would', 'helpful', 'addition', 'mention', 'session']","['explore', 'campus', 'guide', 'tour', 'break', 'family', 'fun', 'reward', 'increase', 'excitement', 'kent', 'state', 'provide', 'useful', 'backbone', 'work', 'come', 'kickoff', 'fall']","['really', 'good', 'idea', 'acclimate', 'new', 'student', 'campus', 'atmosphere', 'know', 'already', 'prove', 'help', 'get', 'comfort', 'zone', 'good', 'way']"
[],['nan'],['nan'],"['time', 'talk']",[],['nan'],"['disappoint', 'way', 'carry', 'first', 'work', 'full', 'time', 'every', 'day', 'u', 'call', 'almost', 'day', 'work', 'start', 'easy', 'take', 'one', 'ever', 'hear', 'college', 'make', 'mandatory', 'student', 'spend', 'night', 'simple', 'orientation', 'normal', 'schedule', 'completely', 'rearrange', 'make', 'guy', 'need', 'make', 'overnight', 'stay', 'optional', 'student', 'stay', 'campus', 'literally', 'get', 'nothing', 'stay', 'overnight', 'except', 'lack', 'sleep', 'also', 'program', 'lecture', 'need', 'shorten', 'necessary', 'information', 'begin', 'semester', 'information', 'could', 'give', 'instead', 'spend', 'extra', 'unneeded', 'time', 'say']"
['nan'],"['advisor', 'nice', 'explain', 'thing', 'schedule', 'mess', 'dup', 'due', 'lack', 'certain', 'class', 'redo', 'make', 'schedule', 'process', 'long']",[],"['honestly', 'people', 'group', 'antisocial', 'hard', 'talk']","['think', 'maybe', 'activity', 'chance', 'talk', 'different', 'people', 'like', 'speed', 'date', 'something']","['favorite', 'part', 'program', 'would', 'schedule', 'yes', 'fun', 'session', 'enjoy', 'friend', 'company', 'schedule', 'make', 'real', 'thrill']","['keep', 'good', 'job', 'great']"
"['convenient', 'stressful', 'take', 'exam', 'classroom', 'set']","['helpful', 'knowledgeable']",['nan'],['nan'],"['financial', 'overview', 'include', 'scholarship', 'financial', 'aid', 'factor', 'confirmation', 'outside', 'scholarship', 'accept', 'scholarship', 'match', 'place']","['meet', 'advisor', 'someone', 'directly', 'answer', 'question']",['nan']
['nan'],"['leave', 'kent', 'motivate', 'ready', 'start', 'new', 'year', 'question', 'answer', 'advise']",['nan'],['nan'],['nan'],"['go', 'downtown', 'kent']",['nan']
['nan'],['nan'],['nan'],['nan'],['nan'],"['schedule', 'class', 'visit', 'downtown', 'kent']",['nan']
['nan'],"['helpful', 'answer', 'every', 'question']",['nan'],['college'],"['provide', 'guide', 'tour', 'downtown', 'student', 'know', 'area']",['nan'],['nan']
['nan'],['nan'],['nan'],"['make', 'connection', 'meet', 'people', 'college']",['nan'],"['enjoy', 'flash', 'guide', 'really', 'helpful', 'talk', 'student', 'campus', 'life', 'study', 'offer', 'answer', 'student', 'perspective']",['nan']
['nan'],"['graduate', 'student', 'help', 'great', 'felt', 'like', 'walk', 'meet', 'satisfy', 'schedule', 'comfortable', 'navigate', 'process']",['nan'],"['feel', 'like', 'parent', 'around', 'likely', 'reach', 'meet', 'new', 'people', 'feel', 'time', 'parent', 'completely', 'separate', 'would', 'encourage', 'connection']",['nan'],"['enjoy', 'even', 'activity', 'student', 'chance', 'explore', 'campus', 'get', 'know']","['flash', 'guide', 'seem', 'approachable', 'helpful', 'question', 'felt', 'comfortable', 'ask']"
['nan'],['nan'],['nan'],"['people', 'say', 'agree', 'one', 'say', 'opinion', 'wrong', 'stay', 'quiet', 'lot', 'viewpoint', 'mine']","['many', 'question', 'student', 'ask', 'large', 'group', 'want', 'look', 'dumb', 'one', 'one', 'time', 'someone', 'may', 'good', 'idea']","['get', 'ask', 'flash', 'guide', 'question', 'like', 'know', 'walk', 'get', 'help', 'answer', 'want', 'know']","['study', 'abroad', 'talk', 'maybe', 'enough', 'aware', 'study', 'away', 'option', 'something', 'interest', 'little', 'mention']"
"['remember', 'formula']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
"['explanation', 'could', 'clear']","['good', 'get', 'center', 'park', 'lot', 'address', 'give', 'take', 'u', 'address', 'drive', 'entrance', 'need', 'use', 'sign', 'guide', 'u', 'entrance']",['confuse'],"['get', 'know', 'session']",['nan'],['nan'],"['one', 'stop', 'financial', 'question', 'helpful', 'dad', 'tell', 'look']"
"['everyone', 'extremely', 'helpful', 'want', 'thank', 'everyone', 'participate', 'make', 'experience', 'great']",['nan'],['nan'],['nan'],['nan'],['nan'],['nan']
['nan'],['nan'],['nan'],"['small', 'group']",['nan'],[],['nan']
[],['nan'],['nan'],['comfortable'],['nan'],"['meet', 'new', 'people']",['nan']
['nan'],['nan'],['nan'],"['talk', 'find', 'common', 'interest']","['room', 'assignment', 'go', 'see', 'actual', 'residence', 'hall']","['play', 'mountain', 'college', 'art', 'group', 'meet', 'new', 'friend']",['nan']
"['would', 'send', 'information', 'student', 'prepare', 'test']","['would', 'like', 'get', 'roommate', 'go', 'destination', 'kent', 'meet', 'nice', 'people', 'would', 'like', 'room']",['nan'],"['walk', 'social']",['nan'],['nan'],['nan']
['nan'],"['amaze', 'much', 'fun', 'enjoy', 'lot', 'drive', 'hour', 'worth']",['nan'],['game'],['nan'],['nan'],['nan']
"['air', 'condition', 'system', 'fix', 'shut', 'move', 'certain', 'time', 'efficient', 'sleep']","['sign', 'first', 'day', 'student', 'center']",['nan'],['nan'],"['go', 'little', 'depth', 'schedule', 'class']","['party', 'first', 'night', 'able', 'make', 'really', 'cool', 'friend']",['nan']
['nan'],"['personal', 'able', 'find', 'pick', 'best', 'class']",['nan'],"['partner', 'activity']",['nan'],"['energy', 'flash', 'guide']",['name']
"['notice', 'student', 'know', 'placement', 'test', 'send', 'call', 'text', 'student', 'parent', 'let', 'know']","['assistant', 'advise', 'lady', 'nice', 'helpful']",['nan'],['anxiety'],['nan'],['free'],['nan']
['nan'],['nan'],['nan'],['nan'],"['campus', 'tour', 'learn', 'way', 'around', 'good']",['nan'],['nan']
"['give', 'time', 'take']",['nan'],['nan'],['nan'],"['score', 'transfer', 'schedule']","['see', 'house']",['nan']
