OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
"['honestly', 'good', 'experience', 'need', 'calculator', 'problem']","['nothing', 'say', 'really', 'great', 'experience', 'overall']","['overall', 'satisfy', 'experience', 'complaint']","['house', 'everything', 'around', 'campus']","['flash', 'guide', 'treat', 'like', 'already', 'apart', 'family']","['believe', 'show', 'talent', 'express', 'main', 'goal', 'kent', 'state']","['overall', 'fun', 'enjoyable', 'go', 'destination', 'kent', 'state']"
,,,,,,
['nan'],['nan'],['nan'],"['spend', 'time', 'look', 'science', 'need', 'college', 'also', 'campus', 'find', 'way', 'around']","['nighttime', 'activity', 'schedule', 'class', 'meet', 'academic', 'advisor']","['best', 'student', 'follow', 'dream', 'find', 'purpose', 'time', 'kent', 'state']",['nan']
,,,,,,
['nan'],['nan'],['nan'],['nan'],"['love', 'meet', 'new', 'people', 'flash', 'guide', 'everyone', 'welcome']","['best', 'student', 'try', 'get', 'involve', 'different', 'activity']",['nan']
['nan'],['nan'],['nan'],"['spend', 'little', 'time', 'show', 'different', 'place', 'campus']","['meet', 'new', 'people']","['get', 'involve', 'meet', 'new', 'people', 'well', 'academic', 'success']",['nan']
"['functional', 'system']",['nan'],['nan'],"['visit', 'facility', 'use', 'like', 'gym', 'place', 'campus']","['meet', 'counselor']","['work', 'hard']",['nan']
['nan'],['nan'],['nan'],['nan'],"['melt', 'favorite', 'experience', 'meet', 'new', 'people', 'make', 'connection', 'flash', 'guide', 'come', 'organization', 'transition', 'high', 'school', 'college']","['study', 'hard', 'use', 'resource', 'help', 'become', 'good', 'student', 'wether', 'get', 'help', 'class', 'struggle', 'go', 'office', 'hour', 'talk', 'professor', 'struggle', 'help', 'u']","['listen', 'story', 'really', 'help', 'feel', 'confident', 'leave', 'home', 'go', 'college', 'kent', 'hour', 'nervous', 'far', 'home', 'hear', 'story', 'able', 'find', 'make', 'new', 'friend', 'really', 'help', 'confident', 'leave', 'home', 'story', 'even', 'relate', 'also', 'make', 'realize', 'one', 'go', 'struggle', 'life', 'also', 'always', 'someone', 'talk']"
"['really', 'whole', 'lot', 'feedback', 'make', 'sure', 'put', 'note', 'step', 'help', 'understand', 'question', 'come', 'back', 'student']","['know', 'advisor', 'helpful', 'give', 'limit', 'knowledge', 'schedule']","['informative', 'helpful', 'know', 'plenty', 'help']",[],"['get', 'walk', 'downtown', 'even', 'activity', 'love', 'felt']","['get', 'good', 'grade', 'high', 'school', 'feel', 'connection', 'school', 'community']","['look', 'forward', 'move', 'day', 'hope', 'go', 'well']"
['nan'],"['really', 'like', 'adviser', 'background', 'major', 'make', 'easy', 'connection', 'make', 'feel', 'like', 'would', 'trust', 'even', 'help', 'choose', 'class', 'right']",['nan'],"['tour', 'build', 'class']","['meet', 'adviser', 'important', 'part', 'satisfy']","['get', 'involve']",['nan']
